consumption_by_source,residential_total_final_consumption,year,Units,commercial_and_public_services_total_final,iso_alpha_3
electricity,112741.0,2000, TJ,62143.0,IRN
natural_gas,680279.0,2000, TJ,96169.0,IRN
oil_products,442331.0,2000, TJ,152577.0,IRN
solid_biomass,2889.0,2000, TJ,2399.0,IRN
electricity,,2000, TJ,,IRQ
oil_products,101053.0,2000, TJ,,IRQ
coal,23169.0,2000, TJ,166.0,IRL
electricity,22949.0,2000, TJ,20124.0,IRL
electricity,22949.0,2000, TJ,,IRL
electricity,4.0,2000, TJ,20124.0,IRL
electricity,4.0,2000, TJ,,IRL
natural_gas,18328.0,2000, TJ,12254.0,IRL
oil_products,47360.0,2000, TJ,15586.0,IRL
solid_biomass,719.0,2000, TJ,,IRL
electricity,41641.0,2000, TJ,42332.0,ISR
electricity,24948.0,2000, TJ,42332.0,ISR
oil_products,34858.0,2000, TJ,,ISR
solid_biomass,183.0,2000, TJ,,ISR
Heat,,2000, TJ,,ITA
coal,2895.0,2000, TJ,,ITA
electricity,220003.0,2000, TJ,203742.0,ITA
electricity,220003.0,2000, TJ,5624.0,ITA
electricity,451.0,2000, TJ,203742.0,ITA
electricity,451.0,2000, TJ,5624.0,ITA
natural_gas,626786.0,2000, TJ,233278.0,ITA
oil_products,251481.0,2000, TJ,40293.0,ITA
solid_biomass,53600.0,2000, TJ,309.0,ITA
electricity,3769.0,2000, TJ,4402.0,JAM
natural_gas,,2000, TJ,,JAM
oil_products,4360.0,2000, TJ,806.0,JAM
solid_biomass,2965.0,2000, TJ,,JAM
Heat,1306.0,2000, TJ,21341.0,JPN
coal,,2000, TJ,502.0,JPN
electricity,902925.0,2000, TJ,1015227.0,JPN
electricity,902925.0,2000, TJ,6368.0,JPN
electricity,32840.0,2000, TJ,1015227.0,JPN
electricity,32840.0,2000, TJ,6368.0,JPN
natural_gas,377007.0,2000, TJ,201555.0,JPN
oil_products,727914.0,2000, TJ,938669.0,JPN
solid_biomass,723.0,2000, TJ,4271.0,JPN
electricity,7131.0,2000, TJ,4485.0,JOR
electricity,7131.0,2000, TJ,126.0,JOR
electricity,2596.0,2000, TJ,4485.0,JOR
electricity,2596.0,2000, TJ,126.0,JOR
oil_products,27189.0,2000, TJ,7516.0,JOR
solid_biomass,97.0,2000, TJ,,JOR
Heat,57020.0,2000, TJ,,KAZ
coal,203.0,2000, TJ,,KAZ
electricity,17154.0,2000, TJ,,KAZ
natural_gas,,2000, TJ,,KAZ
oil_products,9073.0,2000, TJ,5732.0,KAZ
solid_biomass,,2000, TJ,,KAZ
electricity,2879.0,2000, TJ,2645.0,KEN
oil_products,16300.0,2000, TJ,2269.0,KEN
solid_biomass,276717.0,2000, TJ,,KEN
Heat,44830.0,2000, TJ,4025.0,KOR
coal,17336.0,2000, TJ,808.0,KOR
electricity,1571.0,2000, TJ,173.0,KOR
electricity,1571.0,2000, TJ,245829.0,KOR
electricity,133567.0,2000, TJ,173.0,KOR
electricity,133567.0,2000, TJ,245829.0,KOR
natural_gas,277072.0,2000, TJ,69258.0,KOR
oil_products,162348.0,2000, TJ,388379.0,KOR
solid_biomass,2661.0,2000, TJ,6510.0,KOR
Heat,127.0,2000, TJ,85.0,XKX
coal,140.0,2000, TJ,187.0,XKX
electricity,6087.0,2000, TJ,1166.0,XKX
electricity,6087.0,2000, TJ,1.0,XKX
electricity,2.0,2000, TJ,1166.0,XKX
electricity,2.0,2000, TJ,1.0,XKX
oil_products,800.0,2000, TJ,1033.0,XKX
solid_biomass,4435.0,2000, TJ,2216.0,XKX
electricity,48196.0,2000, TJ,23903.0,KWT
oil_products,5118.0,2000, TJ,,KWT
Heat,,2000, TJ,,KGZ
coal,,2000, TJ,,KGZ
electricity,7077.0,2000, TJ,,KGZ
