year,strategy_id,strategy_name,chart,metric,facility_type,value,units
2050,6004,Unconditional NDC (ZRF),fgtv_components,total_fgtv_mt_co2e,All,20.453231868849528,Mt CO2e
2023,6005,Conditional NDC,fgtv_components,flar_emis_mt_co2e,All,6.267337254285718,Mt CO2e
2023,6005,Conditional NDC,fgtv_components,vent_ch4_mt_co2e,All,15.684255338292829,Mt CO2e
2023,6005,Conditional NDC,fgtv_components,dtp_ch4_mt_co2e,All,5.076407407421452,Mt CO2e
2023,6005,Conditional NDC,fgtv_components,total_fgtv_mt_co2e,All,27.028,Mt CO2e
2024,6005,Conditional NDC,fgtv_components,flar_emis_mt_co2e,All,5.903603897548139,Mt CO2e
2024,6005,Conditional NDC,fgtv_components,vent_ch4_mt_co2e,All,14.909034021854488,Mt CO2e
2024,6005,Conditional NDC,fgtv_components,dtp_ch4_mt_co2e,All,4.796120387606258,Mt CO2e
2024,6005,Conditional NDC,fgtv_components,total_fgtv_mt_co2e,All,25.608758307008834,Mt CO2e
2025,6005,Conditional NDC,fgtv_components,flar_emis_mt_co2e,All,5.540294546949919,Mt CO2e
2025,6005,Conditional NDC,fgtv_components,vent_ch4_mt_co2e,All,14.12986286000637,Mt CO2e
2025,6005,Conditional NDC,fgtv_components,dtp_ch4_mt_co2e,All,4.515342753962789,Mt CO2e
2025,6005,Conditional NDC,fgtv_components,total_fgtv_mt_co2e,All,24.18550016091898,Mt CO2e
2026,6005,Conditional NDC,fgtv_components,flar_emis_mt_co2e,All,5.178015637027141,Mt CO2e
2026,6005,Conditional NDC,fgtv_components,vent_ch4_mt_co2e,All,13.339260134842146,Mt CO2e
2026,6005,Conditional NDC,fgtv_components,dtp_ch4_mt_co2e,All,4.233131792469115,Mt CO2e
2026,6005,Conditional NDC,fgtv_components,total_fgtv_mt_co2e,All,22.750407564338268,Mt CO2e
2027,6005,Conditional NDC,fgtv_components,flar_emis_mt_co2e,All,4.818090420329532,Mt CO2e
2027,6005,Conditional NDC,fgtv_components,vent_ch4_mt_co2e,All,12.529063659266342,Mt CO2e
2027,6005,Conditional NDC,fgtv_components,dtp_ch4_mt_co2e,All,3.948839138317645,Mt CO2e
2027,6005,Conditional NDC,fgtv_components,total_fgtv_mt_co2e,All,21.29599321791336,Mt CO2e
2028,6005,Conditional NDC,fgtv_components,flar_emis_mt_co2e,All,4.462442048621014,Mt CO2e
2028,6005,Conditional NDC,fgtv_components,vent_ch4_mt_co2e,All,11.691380684616874,Mt CO2e
2028,6005,Conditional NDC,fgtv_components,dtp_ch4_mt_co2e,All,3.6621867229929936,Mt CO2e
2028,6005,Conditional NDC,fgtv_components,total_fgtv_mt_co2e,All,19.816009456230713,Mt CO2e
2029,6005,Conditional NDC,fgtv_components,flar_emis_mt_co2e,All,4.113449667577317,Mt CO2e
2029,6005,Conditional NDC,fgtv_components,vent_ch4_mt_co2e,All,10.819427714446334,Mt CO2e
2029,6005,Conditional NDC,fgtv_components,dtp_ch4_mt_co2e,All,3.373313453859712,Mt CO2e
2029,6005,Conditional NDC,fgtv_components,total_fgtv_mt_co2e,All,18.306190835883186,Mt CO2e
2030,6005,Conditional NDC,fgtv_components,flar_emis_mt_co2e,All,3.7737862202758077,Mt CO2e
2030,6005,Conditional NDC,fgtv_components,vent_ch4_mt_co2e,All,9.908261715088173,Mt CO2e
2030,6005,Conditional NDC,fgtv_components,dtp_ch4_mt_co2e,All,3.08279059150537,Mt CO2e
2030,6005,Conditional NDC,fgtv_components,total_fgtv_mt_co2e,All,16.76483852686917,Mt CO2e
2031,6005,Conditional NDC,fgtv_components,flar_emis_mt_co2e,All,3.4462440486901063,Mt CO2e
